 INFO] [1682683816.132307264]: Angular Velocity: -1.726947
[ INFO] [1682683817.162412478]: Angular Velocity: -14.514770
[ INFO] [1682683817.172717002]: Angular Velocity: -13.402143
[ INFO] [1682683817.182341539]: Angular Velocity: -12.386983
[ INFO] [1682683817.192677225]: Angular Velocity: -12.386983
[ INFO] [1682683817.202440919]: Angular Velocity: -11.592702
[ INFO] [1682683817.212145185]: Angular Velocity: -11.592702
[ INFO] [1682683817.223177684]: Angular Velocity: -10.884422
[ INFO] [1682683817.233327000]: Angular Velocity: -10.306788
[ INFO] [1682683817.242691751]: Angular Velocity: -10.306788
[ INFO] [1682683817.253538687]: Angular Velocity: -9.877702
[ INFO] [1682683817.262054749]: Angular Velocity: -9.512577
[ INFO] [1682683817.273423304]: Angular Velocity: -9.512577
[ INFO] [1682683817.282009652]: Angular Velocity: 15.888554
[ INFO] [1682683817.292085486]: Angular Velocity: 16.119057
[ INFO] [1682683817.302937546]: Angular Velocity: 16.119057
[ INFO] [1682683817.312370408]: Angular Velocity: 14.785872
[ INFO] [1682683817.322385919]: Angular Velocity: 14.785872
[ INFO] [1682683817.332564996]: Angular Velocity: 13.624126
[ INFO] [1682683817.342152139]: Angular Velocity: 12.559114
[ INFO] [1682683817.352843044]: Angular Velocity: 12.559114
[ INFO] [1682683817.362977405]: Angular Velocity: 11.720035
[ INFO] [1682683817.372280596]: Angular Velocity: 10.967017
[ INFO] [1682683817.382238817]: Angular Velocity: 10.967017
[ INFO] [1682683817.392165533]: Angular Velocity: 10.390946
[ INFO] [1682683817.405471954]: Angular Velocity: 10.390946
[ INFO] [1682683817.412461873]: Angular Velocity: 9.920987
[ INFO] [1682683817.422202652]: Angular Velocity: 9.519365
[ INFO] [1682683817.432477887]: Angular Velocity: 9.519365
[ INFO] [1682683817.443390286]: Angular Velocity: 9.224640
[ INFO] [1682683817.452309616]: Angular Velocity: 9.224640
[ INFO] [1682683817.462113836]: Angular Velocity: -16.154894
[ INFO] [1682683817.472164858]: Angular Velocity: -16.352829
[ INFO] [1682683817.482119145]: Angular Velocity: -16.352829
[ INFO] [1682683817.492217521]: Angular Velocity: -14.986551
[ INFO] [1682683817.502601828]: Angular Velocity: -13.715212
[ INFO] [1682683817.512094532]: Angular Velocity: -13.715212
[ INFO] [1682683817.522605712]: Angular Velocity: -12.696451
[ INFO] [1682683817.532048111]: Angular Velocity: -11.769663
[ INFO] [1682683817.542506091]: Angular Velocity: -11.769663
[ INFO] [1682683817.552361084]: Angular Velocity: -11.047017
[ INFO] [1682683817.562199972]: Angular Velocity: -11.047017
[ INFO] [1682683817.572384459]: Angular Velocity: -10.445871
[ INFO] [1682683817.582671044]: Angular Velocity: -9.920061
[ INFO] [1682683817.592679601]: Angular Velocity: -9.920061
[ INFO] [1682683817.602434980]: Angular Velocity: -9.528531
[ INFO] [1682683817.612565954]: Angular Velocity: -9.528531
[ INFO] [1682683817.622318465]: Angular Velocity: -9.199306
[ INFO] [1682683817.632157040]: Angular Velocity: -8.943195
[ INFO] [1682683817.642220991]: Angular Velocity: -8.943195
[ INFO] [1682683817.652987161]: Angular Velocity: 16.376772
[ INFO] [1682683817.662646197]: Angular Velocity: 16.542702
[ INFO] [1682683817.673270888]: Angular Velocity: 16.542702
[ INFO] [1682683817.682407336]: Angular Velocity: 15.141176
[ INFO] [1682683817.692247639]: Angular Velocity: 15.141176
[ INFO] [1682683817.702414105]: Angular Velocity: 13.830753
[ INFO] [1682683817.712142648]: Angular Velocity: 12.698960
[ INFO] [1682683817.722865278]: Angular Velocity: 12.698960
[ INFO] [1682683817.732479568]: Angular Velocity: 11.801524
[ INFO] [1682683817.742029274]: Angular Velocity: 10.987423
[ INFO] [1682683817.752068030]: Angular Velocity: 10.987423
[ INFO] [1682683817.762137884]: Angular Velocity: 10.355605
